create table compositetest (id int, name char(10), value float, category char(5));
insert into compositetest values (9670, 'VaXgR', 743.01, 'cat0');
insert into compositetest values (9671, 'jUYKh', 628.26, 'cat1');
insert into compositetest values (9672, 'FAHjw', 318.22, 'cat2');
insert into compositetest values (9673, 'qwZbU', 559.13, 'cat3');
insert into compositetest values (9674, 'lHvBs', 533.99, 'cat4');
insert into compositetest values (9675, 'PRPvd', 412.73, 'cat5');
insert into compositetest values (9676, 'yJBjv', 271.89, 'cat6');
insert into compositetest values (9677, 'VAzEK', 922.72, 'cat7');
insert into compositetest values (9678, 'lJpFP', 902.19, 'cat8');
insert into compositetest values (9679, 'gWJDh', 155.67, 'cat9');
insert into compositetest values (9680, 'llNda', 877.05, 'cat0');
insert into compositetest values (9681, 'ndhfG', 623.74, 'cat1');
insert into compositetest values (9682, 'WntJZ', 430.56, 'cat2');
insert into compositetest values (9683, 'pMmMZ', 858.53, 'cat3');
insert into compositetest values (9684, 'VhPmH', 170.53, 'cat4');
insert into compositetest values (9685, 'wmyll', 71.32, 'cat5');
insert into compositetest values (9686, 'KfUFv', 555.73, 'cat6');
insert into compositetest values (9687, 'muvqN', 790.49, 'cat7');
insert into compositetest values (9688, 'mdeXe', 844.49, 'cat8');
insert into compositetest values (9689, 'uEBJD', 776.05, 'cat9');
insert into compositetest values (9690, 'mMcFA', 976.36, 'cat0');
insert into compositetest values (9691, 'sZVfK', 806.76, 'cat1');
insert into compositetest values (9692, 'yPNSa', 991.72, 'cat2');
insert into compositetest values (9693, 'WKiTQ', 98.53, 'cat3');
insert into compositetest values (9694, 'EJZDO', 914.5, 'cat4');
insert into compositetest values (9695, 'pJZvW', 948.04, 'cat5');
insert into compositetest values (9696, 'LHRrp', 320.01, 'cat6');
insert into compositetest values (9697, 'uNoep', 17.32, 'cat7');
insert into compositetest values (9698, 'GmRWP', 338.77, 'cat8');
insert into compositetest values (9699, 'QXnQV', 331.97, 'cat9');
insert into compositetest values (9700, 'LiDmy', 499.12, 'cat0');
insert into compositetest values (9701, 'wUkHs', 66.46, 'cat1');
insert into compositetest values (9702, 'FpaMl', 425.38, 'cat2');
insert into compositetest values (9703, 'QbsXf', 138.43, 'cat3');
insert into compositetest values (9704, 'AeraH', 1.16, 'cat4');
insert into compositetest values (9705, 'yhSXF', 794.91, 'cat5');
insert into compositetest values (9706, 'uEimS', 947.02, 'cat6');
insert into compositetest values (9707, 'cwPQz', 507.15, 'cat7');
insert into compositetest values (9708, 'tdRmZ', 107.39, 'cat8');
insert into compositetest values (9709, 'GGehg', 711.36, 'cat9');
insert into compositetest values (9710, 'KmaXe', 819.75, 'cat0');
insert into compositetest values (9711, 'uyZCi', 731.83, 'cat1');
insert into compositetest values (9712, 'uJOVT', 393.6, 'cat2');
insert into compositetest values (9713, 'YxDXF', 688.06, 'cat3');
insert into compositetest values (9714, 'fbBwM', 335.81, 'cat4');
insert into compositetest values (9715, 'TBjRl', 273.71, 'cat5');
insert into compositetest values (9716, 'ghgkW', 225.53, 'cat6');
insert into compositetest values (9717, 'yLyNE', 286.22, 'cat7');
insert into compositetest values (9718, 'YGuxh', 336.75, 'cat8');
insert into compositetest values (9719, 'IooCr', 273.5, 'cat9');
insert into compositetest values (9720, 'WjvoU', 561.59, 'cat0');
insert into compositetest values (9721, 'DCHfy', 961.05, 'cat1');
insert into compositetest values (9722, 'VvMXg', 973.45, 'cat2');
insert into compositetest values (9723, 'KGZes', 44.0, 'cat3');
insert into compositetest values (9724, 'sjBYl', 936.85, 'cat4');
insert into compositetest values (9725, 'cjgHK', 793.72, 'cat5');
insert into compositetest values (9726, 'iZcmj', 201.44, 'cat6');
insert into compositetest values (9727, 'qVHTJ', 74.4, 'cat7');
insert into compositetest values (9728, 'Madjo', 220.72, 'cat8');
insert into compositetest values (9729, 'QIDWm', 936.98, 'cat9');
insert into compositetest values (9730, 'DTvMm', 591.07, 'cat0');
insert into compositetest values (9731, 'vpmVL', 210.27, 'cat1');
insert into compositetest values (9732, 'nESrF', 658.97, 'cat2');
insert into compositetest values (9733, 'AdBAk', 485.38, 'cat3');
insert into compositetest values (9734, 'mxaRc', 761.34, 'cat4');
insert into compositetest values (9735, 'gLUCZ', 339.9, 'cat5');
insert into compositetest values (9736, 'VvUUo', 249.34, 'cat6');
insert into compositetest values (9737, 'aGZXE', 133.92, 'cat7');
insert into compositetest values (9738, 'OAhGz', 951.82, 'cat8');
insert into compositetest values (9739, 'ZAyVy', 836.78, 'cat9');
insert into compositetest values (9740, 'RcBvh', 864.56, 'cat0');
insert into compositetest values (9741, 'tBzGp', 691.16, 'cat1');
insert into compositetest values (9742, 'moVdb', 361.38, 'cat2');
insert into compositetest values (9743, 'ZgfAD', 68.38, 'cat3');
insert into compositetest values (9744, 'dXEsA', 451.1, 'cat4');
insert into compositetest values (9745, 'vhuwT', 521.58, 'cat5');
insert into compositetest values (9746, 'RrlPY', 569.43, 'cat6');
insert into compositetest values (9747, 'hptUI', 895.35, 'cat7');
insert into compositetest values (9748, 'gyIup', 770.66, 'cat8');
insert into compositetest values (9749, 'HMYWY', 232.78, 'cat9');
insert into compositetest values (9750, 'SJXzu', 932.12, 'cat0');
insert into compositetest values (9751, 'xcxYV', 39.96, 'cat1');
insert into compositetest values (9752, 'SksXS', 842.0, 'cat2');
insert into compositetest values (9753, 'hwvrR', 299.21, 'cat3');
insert into compositetest values (9754, 'WDNmC', 689.11, 'cat4');
insert into compositetest values (9755, 'YsakL', 793.88, 'cat5');
insert into compositetest values (9756, 'FLbmZ', 372.41, 'cat6');
insert into compositetest values (9757, 'gbspR', 417.39, 'cat7');
insert into compositetest values (9758, 'ZPCRt', 209.5, 'cat8');
insert into compositetest values (9759, 'RqKIE', 176.3, 'cat9');
insert into compositetest values (9760, 'XyjHo', 373.0, 'cat0');
insert into compositetest values (9761, 'rhxVC', 202.62, 'cat1');
insert into compositetest values (9762, 'VNDrk', 478.81, 'cat2');
insert into compositetest values (9763, 'htOBG', 779.75, 'cat3');
insert into compositetest values (9764, 'ZcrkU', 154.65, 'cat4');
insert into compositetest values (9765, 'OlCtI', 115.01, 'cat5');
insert into compositetest values (9766, 'QsuId', 756.04, 'cat6');
insert into compositetest values (9767, 'cfRdt', 125.91, 'cat7');
insert into compositetest values (9768, 'wjfKE', 506.49, 'cat8');
insert into compositetest values (9769, 'xtyXc', 219.75, 'cat9');
insert into compositetest values (9770, 'IyPgs', 433.9, 'cat0');
insert into compositetest values (9771, 'rbxVc', 646.13, 'cat1');
insert into compositetest values (9772, 'EKMMu', 402.69, 'cat2');
insert into compositetest values (9773, 'ytlRj', 311.94, 'cat3');
insert into compositetest values (9774, 'uauJw', 429.59, 'cat4');
insert into compositetest values (9775, 'FEbCD', 436.43, 'cat5');
insert into compositetest values (9776, 'rmmmL', 794.62, 'cat6');
insert into compositetest values (9777, 'uWOGm', 445.92, 'cat7');
insert into compositetest values (9778, 'zQzmQ', 111.94, 'cat8');
insert into compositetest values (9779, 'gOFTz', 928.44, 'cat9');
insert into compositetest values (9780, 'xSbNv', 801.36, 'cat0');
insert into compositetest values (9781, 'oqiyp', 72.6, 'cat1');
insert into compositetest values (9782, 'OpUin', 184.76, 'cat2');
insert into compositetest values (9783, 'mdxTU', 70.08, 'cat3');
insert into compositetest values (9784, 'zYSMv', 598.74, 'cat4');
insert into compositetest values (9785, 'CLGwv', 481.45, 'cat5');
insert into compositetest values (9786, 'gOCYp', 479.57, 'cat6');
insert into compositetest values (9787, 'yvckw', 840.77, 'cat7');
insert into compositetest values (9788, 'UdHfc', 931.35, 'cat8');
insert into compositetest values (9789, 'HNuhW', 565.89, 'cat9');
insert into compositetest values (9790, 'JjsTd', 556.68, 'cat0');
insert into compositetest values (9791, 'Gdoip', 22.33, 'cat1');
insert into compositetest values (9792, 'gxsqk', 400.79, 'cat2');
insert into compositetest values (9793, 'CKBbi', 506.36, 'cat3');
insert into compositetest values (9794, 'oAfhe', 406.64, 'cat4');
insert into compositetest values (9795, 'aAmGM', 708.75, 'cat5');
insert into compositetest values (9796, 'hSAaT', 238.4, 'cat6');
insert into compositetest values (9797, 'TtVCT', 87.61, 'cat7');
insert into compositetest values (9798, 'lBwxx', 495.85, 'cat8');
insert into compositetest values (9799, 'YwStS', 79.74, 'cat9');
insert into compositetest values (9800, 'bpLsH', 227.61, 'cat0');
insert into compositetest values (9801, 'NbSEE', 891.52, 'cat1');
insert into compositetest values (9802, 'VYLiH', 314.03, 'cat2');
insert into compositetest values (9803, 'yCViL', 96.99, 'cat3');
insert into compositetest values (9804, 'XhfAW', 955.1, 'cat4');
insert into compositetest values (9805, 'PyukK', 982.33, 'cat5');
insert into compositetest values (9806, 'PccZK', 760.35, 'cat6');
insert into compositetest values (9807, 'GZKNq', 204.01, 'cat7');
insert into compositetest values (9808, 'XZvrP', 989.1, 'cat8');
insert into compositetest values (9809, 'SLlae', 636.02, 'cat9');
insert into compositetest values (9810, 'SyMQc', 601.63, 'cat0');
insert into compositetest values (9811, 'VFdsD', 221.19, 'cat1');
insert into compositetest values (9812, 'CrfPt', 960.57, 'cat2');
insert into compositetest values (9813, 'xCAOY', 946.57, 'cat3');
insert into compositetest values (9814, 'dKYEh', 719.41, 'cat4');
insert into compositetest values (9815, 'urYFI', 871.87, 'cat5');
insert into compositetest values (9816, 'bmOWC', 116.52, 'cat6');
insert into compositetest values (9817, 'clavG', 898.66, 'cat7');
insert into compositetest values (9818, 'WfSRU', 702.17, 'cat8');
insert into compositetest values (9819, 'aFlRl', 173.52, 'cat9');
insert into compositetest values (9820, 'bFiUe', 148.1, 'cat0');
insert into compositetest values (9821, 'sehpO', 905.54, 'cat1');
insert into compositetest values (9822, 'OYKgC', 457.26, 'cat2');
insert into compositetest values (9823, 'sRIrq', 890.78, 'cat3');
insert into compositetest values (9824, 'CVhVH', 602.48, 'cat4');
insert into compositetest values (9825, 'wyDYe', 478.11, 'cat5');
insert into compositetest values (9826, 'XPYVL', 451.41, 'cat6');
insert into compositetest values (9827, 'KqDAs', 922.21, 'cat7');
insert into compositetest values (9828, 'HNYUx', 189.12, 'cat8');
insert into compositetest values (9829, 'PSXas', 968.69, 'cat9');
insert into compositetest values (9830, 'LMDyZ', 518.15, 'cat0');
insert into compositetest values (9831, 'jqXFy', 603.54, 'cat1');
insert into compositetest values (9832, 'nozRS', 431.84, 'cat2');
insert into compositetest values (9833, 'BWGLz', 361.58, 'cat3');
insert into compositetest values (9834, 'lLHHz', 430.33, 'cat4');
insert into compositetest values (9835, 'TZKwd', 605.01, 'cat5');
insert into compositetest values (9836, 'kZlra', 831.84, 'cat6');
insert into compositetest values (9837, 'oGcqP', 807.21, 'cat7');
insert into compositetest values (9838, 'pByDG', 589.23, 'cat8');
insert into compositetest values (9839, 'GKRMD', 884.53, 'cat9');
insert into compositetest values (9840, 'tZEZj', 515.71, 'cat0');
insert into compositetest values (9841, 'vvCqP', 649.24, 'cat1');
insert into compositetest values (9842, 'PPNiE', 206.37, 'cat2');
insert into compositetest values (9843, 'RMhta', 642.71, 'cat3');
insert into compositetest values (9844, 'eCkWT', 400.34, 'cat4');
insert into compositetest values (9845, 'TqCgH', 980.04, 'cat5');
insert into compositetest values (9846, 'IwEcF', 282.4, 'cat6');
insert into compositetest values (9847, 'iDYaF', 253.7, 'cat7');
insert into compositetest values (9848, 'mzsZL', 354.27, 'cat8');
insert into compositetest values (9849, 'BZgJK', 672.43, 'cat9');
insert into compositetest values (9850, 'yXFjy', 34.16, 'cat0');
insert into compositetest values (9851, 'qRfqv', 108.2, 'cat1');
insert into compositetest values (9852, 'qSmnF', 50.32, 'cat2');
insert into compositetest values (9853, 'JUwKO', 275.28, 'cat3');
insert into compositetest values (9854, 'iZCBY', 722.3, 'cat4');
insert into compositetest values (9855, 'Yqfbv', 729.1, 'cat5');
insert into compositetest values (9856, 'jTnyf', 204.58, 'cat6');
insert into compositetest values (9857, 'azhgH', 811.53, 'cat7');
insert into compositetest values (9858, 'CURuz', 49.79, 'cat8');
insert into compositetest values (9859, 'uENUP', 490.66, 'cat9');
insert into compositetest values (9860, 'YqMBK', 716.05, 'cat0');
insert into compositetest values (9861, 'xwKoZ', 805.41, 'cat1');
insert into compositetest values (9862, 'sZfsX', 70.74, 'cat2');
insert into compositetest values (9863, 'odwIv', 211.89, 'cat3');
insert into compositetest values (9864, 'bSCUn', 515.62, 'cat4');
insert into compositetest values (9865, 'XDeUN', 837.66, 'cat5');
insert into compositetest values (9866, 'qJGlr', 581.58, 'cat6');
insert into compositetest values (9867, 'VNkEE', 203.14, 'cat7');
insert into compositetest values (9868, 'McjnS', 772.64, 'cat8');
insert into compositetest values (9869, 'UpgRJ', 599.07, 'cat9');
insert into compositetest values (9870, 'hwCgc', 970.46, 'cat0');
insert into compositetest values (9871, 'vHMUf', 627.95, 'cat1');
insert into compositetest values (9872, 'mcGRo', 611.62, 'cat2');
insert into compositetest values (9873, 'QqBbg', 34.55, 'cat3');
insert into compositetest values (9874, 'dHqWa', 521.3, 'cat4');
insert into compositetest values (9875, 'lFHdg', 177.21, 'cat5');
insert into compositetest values (9876, 'KJERy', 439.65, 'cat6');
insert into compositetest values (9877, 'SuXpk', 320.67, 'cat7');
insert into compositetest values (9878, 'OuLtI', 886.09, 'cat8');
insert into compositetest values (9879, 'WwunA', 676.85, 'cat9');
insert into compositetest values (9880, 'ijwBL', 559.52, 'cat0');
insert into compositetest values (9881, 'KddQW', 811.02, 'cat1');
insert into compositetest values (9882, 'zLTLs', 377.31, 'cat2');
insert into compositetest values (9883, 'sNHDG', 655.97, 'cat3');
insert into compositetest values (9884, 'euAqx', 875.58, 'cat4');
insert into compositetest values (9885, 'MhHTr', 722.02, 'cat5');
insert into compositetest values (9886, 'ZgsLn', 57.86, 'cat6');
insert into compositetest values (9887, 'GCMQS', 151.52, 'cat7');
insert into compositetest values (9888, 'vixzc', 999.37, 'cat8');
insert into compositetest values (9889, 'AOZhK', 796.02, 'cat9');
insert into compositetest values (9890, 'mSfQZ', 104.04, 'cat0');
insert into compositetest values (9891, 'SQsno', 643.35, 'cat1');
insert into compositetest values (9892, 'KzXyS', 880.5, 'cat2');
insert into compositetest values (9893, 'nUZgf', 904.6, 'cat3');
insert into compositetest values (9894, 'EopHQ', 975.1, 'cat4');
insert into compositetest values (9895, 'FiRUr', 84.74, 'cat5');
insert into compositetest values (9896, 'IkBPz', 406.91, 'cat6');
insert into compositetest values (9897, 'cnFfQ', 391.05, 'cat7');
insert into compositetest values (9898, 'gGkHT', 575.74, 'cat8');
insert into compositetest values (9899, 'KVjwU', 96.9, 'cat9');
insert into compositetest values (9900, 'opBHn', 871.83, 'cat0');
insert into compositetest values (9901, 'PpXuF', 949.56, 'cat1');
insert into compositetest values (9902, 'YasRh', 341.34, 'cat2');
insert into compositetest values (9903, 'zbkGt', 572.08, 'cat3');
insert into compositetest values (9904, 'NvXKV', 315.3, 'cat4');
insert into compositetest values (9905, 'kbIWs', 213.26, 'cat5');
insert into compositetest values (9906, 'EPrIp', 322.49, 'cat6');
insert into compositetest values (9907, 'oFlQQ', 838.57, 'cat7');
insert into compositetest values (9908, 'sJdCw', 586.47, 'cat8');
insert into compositetest values (9909, 'pmnsQ', 130.93, 'cat9');
insert into compositetest values (9910, 'pALbS', 251.07, 'cat0');
insert into compositetest values (9911, 'SDCii', 698.7, 'cat1');
insert into compositetest values (9912, 'HdGNc', 652.0, 'cat2');
insert into compositetest values (9913, 'yxjMU', 674.67, 'cat3');
insert into compositetest values (9914, 'tBXoE', 826.15, 'cat4');
insert into compositetest values (9915, 'FmggH', 51.71, 'cat5');
insert into compositetest values (9916, 'DBwCc', 228.52, 'cat6');
insert into compositetest values (9917, 'CCCba', 697.12, 'cat7');
insert into compositetest values (9918, 'pnDfv', 773.95, 'cat8');
insert into compositetest values (9919, 'TwdiK', 574.8, 'cat9');
insert into compositetest values (9920, 'trDRB', 888.83, 'cat0');
insert into compositetest values (9921, 'cIAXd', 976.38, 'cat1');
insert into compositetest values (9922, 'UnWYi', 316.73, 'cat2');
insert into compositetest values (9923, 'weHCH', 232.47, 'cat3');
insert into compositetest values (9924, 'kvtMg', 433.17, 'cat4');
insert into compositetest values (9925, 'obwiU', 913.13, 'cat5');
insert into compositetest values (9926, 'XjnBl', 965.58, 'cat6');
insert into compositetest values (9927, 'Gavyw', 829.29, 'cat7');
insert into compositetest values (9928, 'ckHvn', 197.65, 'cat8');
insert into compositetest values (9929, 'qGEiU', 85.38, 'cat9');
insert into compositetest values (9930, 'yVyQa', 902.74, 'cat0');
insert into compositetest values (9931, 'dLIAb', 199.82, 'cat1');
insert into compositetest values (9932, 'FKNBY', 237.76, 'cat2');
insert into compositetest values (9933, 'eczcp', 163.55, 'cat3');
insert into compositetest values (9934, 'JYUfP', 403.11, 'cat4');
insert into compositetest values (9935, 'YgVwS', 582.95, 'cat5');
insert into compositetest values (9936, 'eCxkh', 73.85, 'cat6');
insert into compositetest values (9937, 'aTojH', 607.38, 'cat7');
insert into compositetest values (9938, 'hqtkv', 948.86, 'cat8');
insert into compositetest values (9939, 'CPhsL', 913.14, 'cat9');
insert into compositetest values (9940, 'kzgQC', 213.14, 'cat0');
insert into compositetest values (9941, 'lJTjH', 982.67, 'cat1');
insert into compositetest values (9942, 'OMKai', 440.98, 'cat2');
insert into compositetest values (9943, 'MmmKP', 77.59, 'cat3');
insert into compositetest values (9944, 'MHxLo', 515.43, 'cat4');
insert into compositetest values (9945, 'CfQDq', 220.56, 'cat5');
insert into compositetest values (9946, 'HwMWV', 721.08, 'cat6');
insert into compositetest values (9947, 'VWnoo', 12.19, 'cat7');
insert into compositetest values (9948, 'CHEot', 480.8, 'cat8');
insert into compositetest values (9949, 'jctqk', 602.9, 'cat9');
insert into compositetest values (9950, 'bHWjJ', 943.89, 'cat0');
insert into compositetest values (9951, 'Bbzyd', 216.06, 'cat1');
insert into compositetest values (9952, 'KuufP', 723.04, 'cat2');
insert into compositetest values (9953, 'PFXhJ', 764.9, 'cat3');
insert into compositetest values (9954, 'dlMqz', 756.51, 'cat4');
insert into compositetest values (9955, 'xyzZI', 669.79, 'cat5');
insert into compositetest values (9956, 'WCVJA', 463.3, 'cat6');
insert into compositetest values (9957, 'VJwhj', 631.55, 'cat7');
insert into compositetest values (9958, 'OsFiz', 881.89, 'cat8');
insert into compositetest values (9959, 'UsXzX', 222.59, 'cat9');
insert into compositetest values (9960, 'pfCrs', 431.62, 'cat0');
insert into compositetest values (9961, 'OtZgO', 218.18, 'cat1');
insert into compositetest values (9962, 'IzbRB', 731.44, 'cat2');
insert into compositetest values (9963, 'KLiZK', 567.51, 'cat3');
insert into compositetest values (9964, 'pTiMW', 448.35, 'cat4');
insert into compositetest values (9965, 'Rupcu', 630.53, 'cat5');
insert into compositetest values (9966, 'fnNIj', 450.25, 'cat6');
insert into compositetest values (9967, 'nEJNx', 802.43, 'cat7');
insert into compositetest values (9968, 'ovWMN', 179.97, 'cat8');
insert into compositetest values (9969, 'WuVLx', 977.26, 'cat9');
insert into compositetest values (9970, 'WGuAs', 543.02, 'cat0');
insert into compositetest values (9971, 'JPqUv', 847.02, 'cat1');
insert into compositetest values (9972, 'sCfPE', 706.48, 'cat2');
insert into compositetest values (9973, 'ykbDf', 618.61, 'cat3');
insert into compositetest values (9974, 'vvlga', 758.54, 'cat4');
insert into compositetest values (9975, 'hZuOU', 553.11, 'cat5');
insert into compositetest values (9976, 'jqbcq', 37.5, 'cat6');
insert into compositetest values (9977, 'rWznT', 853.25, 'cat7');
insert into compositetest values (9978, 'NWRLb', 585.54, 'cat8');
insert into compositetest values (9979, 'UokMe', 801.89, 'cat9');
insert into compositetest values (9980, 'cifyT', 490.08, 'cat0');
insert into compositetest values (9981, 'zcWpT', 449.89, 'cat1');
insert into compositetest values (9982, 'RiowM', 990.99, 'cat2');
insert into compositetest values (9983, 'syUAa', 405.56, 'cat3');
insert into compositetest values (9984, 'Fubqp', 646.65, 'cat4');
insert into compositetest values (9985, 'ZhNvl', 566.54, 'cat5');
insert into compositetest values (9986, 'XEOKc', 911.49, 'cat6');
insert into compositetest values (9987, 'GndCC', 493.78, 'cat7');
insert into compositetest values (9988, 'DFVxl', 763.81, 'cat8');
insert into compositetest values (9989, 'ZyFYS', 21.23, 'cat9');
insert into compositetest values (9990, 'Ohlqu', 344.0, 'cat0');
insert into compositetest values (9991, 'cZTBm', 17.12, 'cat1');
insert into compositetest values (9992, 'JbPuG', 808.91, 'cat2');
insert into compositetest values (9993, 'lGmzD', 978.55, 'cat3');
insert into compositetest values (9994, 'vHkaO', 732.36, 'cat4');
insert into compositetest values (9995, 'AfWeq', 723.77, 'cat5');
insert into compositetest values (9996, 'rFmeM', 954.42, 'cat6');
insert into compositetest values (9997, 'vVwzd', 724.0, 'cat7');
insert into compositetest values (9998, 'iqJTW', 876.93, 'cat8');
insert into compositetest values (9999, 'wQTsr', 65.96, 'cat9');
insert into compositetest values (10000, 'GFVhl', 497.45, 'cat0');
insert into compositetest values (10001, 'qxOTR', 136.55, 'cat1');
insert into compositetest values (10002, 'jFEzB', 916.91, 'cat2');
insert into compositetest values (10003, 'JuKUt', 643.67, 'cat3');
insert into compositetest values (10004, 'clZoE', 101.2, 'cat4');
insert into compositetest values (10005, 'ixwky', 734.9, 'cat5');
insert into compositetest values (10006, 'andqK', 388.05, 'cat6');
insert into compositetest values (10007, 'jSgzM', 42.15, 'cat7');
insert into compositetest values (10008, 'XPOxM', 952.81, 'cat8');
insert into compositetest values (10009, 'mHRvY', 53.51, 'cat9');
insert into compositetest values (10010, 'vxGIA', 924.87, 'cat0');
insert into compositetest values (10011, 'pEybt', 37.33, 'cat1');
insert into compositetest values (10012, 'GSIan', 710.1, 'cat2');
insert into compositetest values (10013, 'FScCR', 69.39, 'cat3');
insert into compositetest values (10014, 'EQKyD', 664.78, 'cat4');
insert into compositetest values (10015, 'FKpRK', 786.99, 'cat5');
insert into compositetest values (10016, 'NpRjy', 195.55, 'cat6');
insert into compositetest values (10017, 'zAwac', 683.91, 'cat7');
insert into compositetest values (10018, 'aCVPy', 151.0, 'cat8');
insert into compositetest values (10019, 'PGYFP', 67.32, 'cat9');
insert into compositetest values (10020, 'SwxJu', 139.09, 'cat0');
insert into compositetest values (10021, 'XoxVP', 261.8, 'cat1');
insert into compositetest values (10022, 'ZMEDa', 904.25, 'cat2');
insert into compositetest values (10023, 'mDURz', 676.09, 'cat3');
insert into compositetest values (10024, 'wtHKI', 62.21, 'cat4');
insert into compositetest values (10025, 'wvjoJ', 849.77, 'cat5');
insert into compositetest values (10026, 'otDnL', 492.62, 'cat6');
insert into compositetest values (10027, 'daBND', 760.32, 'cat7');
insert into compositetest values (10028, 'gRmUV', 194.46, 'cat8');
insert into compositetest values (10029, 'InNnu', 336.59, 'cat9');
insert into compositetest values (10030, 'LlzYd', 643.86, 'cat0');
insert into compositetest values (10031, 'oRlDf', 531.22, 'cat1');
insert into compositetest values (10032, 'zkvSq', 21.64, 'cat2');
insert into compositetest values (10033, 'pBlXD', 414.23, 'cat3');
insert into compositetest values (10034, 'sYhqH', 956.5, 'cat4');
insert into compositetest values (10035, 'lvhtb', 354.58, 'cat5');
insert into compositetest values (10036, 'jHEIL', 965.33, 'cat6');
insert into compositetest values (10037, 'qdtuQ', 417.09, 'cat7');
insert into compositetest values (10038, 'gXRKK', 256.17, 'cat8');
insert into compositetest values (10039, 'CUIXG', 744.06, 'cat9');
insert into compositetest values (10040, 'YohSK', 842.72, 'cat0');
insert into compositetest values (10041, 'ECiFF', 824.68, 'cat1');
insert into compositetest values (10042, 'zyGWZ', 338.91, 'cat2');
insert into compositetest values (10043, 'gRtAZ', 854.56, 'cat3');
insert into compositetest values (10044, 'RtUzT', 646.98, 'cat4');
insert into compositetest values (10045, 'qslQM', 684.15, 'cat5');
insert into compositetest values (10046, 'yJIhT', 976.13, 'cat6');
insert into compositetest values (10047, 'fAwDi', 140.56, 'cat7');
insert into compositetest values (10048, 'nrUtB', 414.48, 'cat8');
insert into compositetest values (10049, 'ILHRE', 973.12, 'cat9');
insert into compositetest values (10050, 'LSADC', 893.71, 'cat0');
insert into compositetest values (10051, 'nJCqF', 888.08, 'cat1');
insert into compositetest values (10052, 'enuJr', 249.75, 'cat2');
insert into compositetest values (10053, 'rlQpx', 848.22, 'cat3');
insert into compositetest values (10054, 'hcXCT', 795.02, 'cat4');
insert into compositetest values (10055, 'RCplb', 170.92, 'cat5');
insert into compositetest values (10056, 'fCKbY', 874.33, 'cat6');
insert into compositetest values (10057, 'BJwxA', 732.42, 'cat7');
insert into compositetest values (10058, 'vCNlp', 79.68, 'cat8');
insert into compositetest values (10059, 'YDdXl', 52.46, 'cat9');
insert into compositetest values (10060, 'rOwiu', 923.57, 'cat0');
insert into compositetest values (10061, 'WOxow', 471.25, 'cat1');
insert into compositetest values (10062, 'xIVCP', 106.6, 'cat2');
insert into compositetest values (10063, 'MEccr', 723.54, 'cat3');
insert into compositetest values (10064, 'ZYMXC', 645.46, 'cat4');
insert into compositetest values (10065, 'hhofN', 914.08, 'cat5');
insert into compositetest values (10066, 'ogZNf', 447.8, 'cat6');
insert into compositetest values (10067, 'bhEUN', 368.04, 'cat7');
insert into compositetest values (10068, 'rHBhO', 859.78, 'cat8');
insert into compositetest values (10069, 'JLspD', 679.73, 'cat9');
insert into compositetest values (10070, 'MmSRK', 431.03, 'cat0');
insert into compositetest values (10071, 'eYezT', 76.11, 'cat1');
insert into compositetest values (10072, 'qLgqZ', 850.84, 'cat2');
insert into compositetest values (10073, 'iNVlW', 733.59, 'cat3');
insert into compositetest values (10074, 'aLzyM', 149.04, 'cat4');
insert into compositetest values (10075, 'lrgZe', 699.18, 'cat5');
insert into compositetest values (10076, 'qYuZm', 370.93, 'cat6');
insert into compositetest values (10077, 'AzroG', 834.14, 'cat7');
insert into compositetest values (10078, 'lhywR', 439.31, 'cat8');
insert into compositetest values (10079, 'YgszO', 182.41, 'cat9');
insert into compositetest values (10080, 'nMsJe', 786.27, 'cat0');
insert into compositetest values (10081, 'mwJhq', 525.21, 'cat1');
insert into compositetest values (10082, 'bmbyD', 180.2, 'cat2');
insert into compositetest values (10083, 'LHnJQ', 502.75, 'cat3');
insert into compositetest values (10084, 'GJlrP', 762.43, 'cat4');
insert into compositetest values (10085, 'OpBxR', 149.7, 'cat5');
insert into compositetest values (10086, 'uabys', 724.87, 'cat6');
insert into compositetest values (10087, 'KGIBo', 26.8, 'cat7');
insert into compositetest values (10088, 'IhuuZ', 130.93, 'cat8');
insert into compositetest values (10089, 'zoqwn', 880.98, 'cat9');
insert into compositetest values (10090, 'MoZrJ', 238.56, 'cat0');
insert into compositetest values (10091, 'FvpHE', 497.64, 'cat1');
insert into compositetest values (10092, 'SYpiH', 371.12, 'cat2');
insert into compositetest values (10093, 'IGUtJ', 596.57, 'cat3');
insert into compositetest values (10094, 'QHHpF', 969.21, 'cat4');
insert into compositetest values (10095, 'VjpOo', 289.76, 'cat5');
insert into compositetest values (10096, 'USlBy', 913.35, 'cat6');
insert into compositetest values (10097, 'ZZqEb', 41.72, 'cat7');
insert into compositetest values (10098, 'ljNTP', 424.71, 'cat8');
insert into compositetest values (10099, 'ygiRU', 670.29, 'cat9');
insert into compositetest values (10100, 'tpUBb', 139.9, 'cat0');
insert into compositetest values (10101, 'OSqbW', 9.39, 'cat1');
insert into compositetest values (10102, 'BKfhP', 167.12, 'cat2');
insert into compositetest values (10103, 'FfpqD', 832.02, 'cat3');
insert into compositetest values (10104, 'GZblc', 2.78, 'cat4');
insert into compositetest values (10105, 'PtxAr', 561.55, 'cat5');
insert into compositetest values (10106, 'oOSkH', 527.69, 'cat6');
insert into compositetest values (10107, 'palyV', 807.92, 'cat7');
